pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
4,25,10,1,1,
4,25,45,1,1,
4,25,52,1,4,
4,25,108,1,8,
4,25,225,1,12,
4,25,424,1,17,
4,25,163,1,20,
4,25,53,1,24,
4,25,184,1,28,
4,25,83,1,32,
4,25,517,1,36,
4,25,394,1,40,
4,25,36,4,,
4,25,184,4,,
4,25,182,4,,
4,25,424,4,,
4,25,83,4,,
4,25,263,4,,
4,25,232,4,,
4,25,129,4,,
4,25,317,4,,
4,25,488,4,,
4,25,374,4,,
4,25,525,4,,
4,25,203,4,,
4,25,241,4,,
4,25,91,4,,
4,25,206,4,,
4,25,280,4,,
4,25,421,4,,
4,25,34,4,,
4,25,7,4,,
4,25,9,4,,
4,25,214,4,,
4,25,337,4,,
4,25,156,4,,
4,25,157,4,,
4,25,14,4,,
4,25,349,4,,
4,25,164,4,,
4,25,261,4,,
4,25,242,4,,
4,25,406,4,,
4,25,257,4,,
4,25,53,4,,
4,25,270,4,,
4,25,126,4,,
4,25,519,4,,
4,25,200,4,,
4,25,315,4,,
4,25,411,4,,
4,25,394,4,,
4,25,851,4,,
4,25,44,2,,
4,25,68,2,,
4,25,187,2,,
4,25,231,2,,
4,25,232,2,,
4,25,246,2,,
4,25,407,2,,
4,25,525,2,,
5,25,10,1,1,
5,25,45,1,1,
5,25,52,1,1,
5,25,108,1,1,
5,25,225,1,12,
5,25,424,1,19,
5,25,163,1,24,
5,25,53,1,30,
5,25,184,1,37,
5,25,517,1,48,
5,25,394,1,54,
5,25,36,4,,
5,25,184,4,,
5,25,182,4,,
5,25,424,4,,
5,25,83,4,,
5,25,263,4,,
5,25,129,4,,
5,25,317,4,,
5,25,488,4,,
5,25,374,4,,
5,25,525,4,,
5,25,203,4,,
5,25,241,4,,
5,25,91,4,,
5,25,206,4,,
5,25,280,4,,
5,25,421,4,,
5,25,34,4,,
5,25,7,4,,
5,25,9,4,,
5,25,214,4,,
5,25,337,4,,
5,25,156,4,,
5,25,157,4,,
5,25,14,4,,
5,25,349,4,,
5,25,164,4,,
5,25,261,4,,
5,25,242,4,,
5,25,406,4,,
5,25,257,4,,
5,25,53,4,,
5,25,270,4,,
5,25,126,4,,
5,25,519,4,,
5,25,200,4,,
5,25,315,4,,
5,25,394,4,,
5,25,851,4,,
6,25,403,1,0,
6,25,10,1,1,
6,25,45,1,1,
6,25,52,1,1,
6,25,108,1,1,
6,25,257,1,1,
6,25,337,1,1,
6,25,225,1,12,
6,25,424,1,19,
6,25,163,1,24,
6,25,53,1,30,
6,25,184,1,39,
6,25,83,1,46,
6,25,517,1,54,
6,25,394,1,62,
6,25,36,4,,
6,25,184,4,,
6,25,182,4,,
6,25,424,4,,
6,25,512,4,,
6,25,83,4,,
6,25,263,4,,
6,25,332,4,,
6,25,523,4,,
6,25,129,4,,
6,25,317,4,,
6,25,488,4,,
6,25,314,4,,
6,25,374,4,,
6,25,525,4,,
6,25,203,4,,
6,25,241,4,,
6,25,201,4,,
6,25,91,4,,
6,25,280,4,,
6,25,421,4,,
6,25,403,4,,
6,25,34,4,,
6,25,7,4,,
6,25,9,4,,
6,25,214,4,,
6,25,337,4,,
6,25,156,4,,
6,25,157,4,,
6,25,14,4,,
6,25,19,4,,
6,25,349,4,,
6,25,164,4,,
6,25,261,4,,
6,25,242,4,,
6,25,406,4,,
6,25,257,4,,
6,25,53,4,,
6,25,270,4,,
6,25,126,4,,
6,25,519,4,,
6,25,89,4,,
6,25,416,4,,
6,25,307,4,,
6,25,200,4,,
6,25,315,4,,
6,25,411,4,,
6,25,542,4,,
6,25,63,4,,
6,25,394,4,,
6,25,76,4,,
6,25,851,4,,
25,25,609,1,1,
25,25,417,1,1,
25,25,204,1,1,
25,25,186,1,1,
25,25,589,1,1,
25,25,98,1,1,
25,25,39,1,1,
